Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP
b1720199-211a-4963-9c8a-781115093ab5,1944-08-30,,999-19-4739,S99995844,X54683253X,Ms.,Idell,Batz,,,S,white,english,F,Springfield  Massachusetts  US,991 Blick Grove,Southborough,Massachusetts,01772
49ed0554-110c-4a55-83fe-5d5f45c3a9fe,1970-07-07,,999-36-9026,S99957791,X51139019X,Mrs.,Malinda,Bailey,,Runolfsson,M,white,italian,F,Lawrence  Massachusetts  US,671 Schuppe Frontage road,Malden,Massachusetts,02148
0c8d6e89-3452-4fba-9e44-92e891a4b83d,1991-02-08,,999-37-9064,S99919497,X58249973X,Mrs.,Aileen,Schmidt,,Jakubowski,M,white,italian,F,Naples  Campania  IT,230 Nienow Underpass Suite 98,Franklin Town,Massachusetts,02038
0c5e3a67-6453-4e5d-85ce-ff9ccb784fec,1935-01-25,1999-08-19,999-62-4290,S99943531,X32715256X,Mr.,Elwood,Hermiston,,,M,white,american,M,Everett  Massachusetts  US,462 Franecki Pathway,Quincy,Massachusetts,02169
df600997-0add-4575-b2cb-bd7ce25b4ce2,1957-07-09,,999-64-6308,S99968919,X3184946X,Mr.,Jamar,Morar,,,M,white,irish,M,Boston  Massachusetts  US,796 Torphy Stravenue,Chelsea,Massachusetts,02149
9164c600-b14f-4a10-842a-b0c7226cfe42,1986-02-12,,999-44-4963,S99961239,X66257675X,Mr.,Napoleon,Runte,,,M,white,italian,M,Wales  Massachusetts  US,970 Ullrich Spur Unit 41,Quincy,Massachusetts,02169
176a2f46-39c8-467c-b547-5bb2b2c83b51,1971-05-05,,999-10-2576,S99975056,X1418865X,Mrs.,Nadia,Durgan,,Hegmann,M,white,french,F,Watertown Town  Massachusetts  US,690 Wiza Manor,Templeton,Massachusetts,01468
b17841cd-ac96-4afb-a360-ec779bf7b365,1980-03-29,,999-57-9403,S99912622,X61465813X,Ms.,Rowena,Doyle,,,S,black,west_indian,F,Santo Domingo  National District  DO,650 Marvin Knoll,Nahant,Massachusetts,01908
5e28eda4-66fd-4e6a-bbae-51653873ccdc,1935-01-25,1981-09-19,999-59-6167,S99922843,X86841539X,Mr.,Alvin,Ankunding,,,S,white,american,M,Revere  Massachusetts  US,155 Dickinson Plaza Suite 56,Quincy,Massachusetts,02169
8e3213e8-d5cf-47ef-b424-6b4948ca0f51,1975-12-05,,999-97-8232,S99923987,X88430623X,Mr.,Marshall,Bednar,,,M,white,irish,M,Rochester  Massachusetts  US,636 Ebert Lane Apt 98,Worcester,Massachusetts,01545
697dc00e-3503-4de3-9b31-bf549b0a5e7e,1911-04-13,2012-04-15,999-94-4837,S99979412,X82605571X,Mr.,Arlen,Ortiz,,,M,white,greek,M,Natick  Massachusetts  US,354 Hermiston Street Unit 28,Lawrence,Massachusetts,01840
32c7bda2-f0d3-4f76-932c-9aeb2282ccee,1962-11-20,2016-12-13,999-75-5205,S99975615,X21581126X,Mrs.,Irmgard,Olson,,Wuckert,M,white,irish,F,Medford  Massachusetts  US,373 Denesik Heights Apt 1,Randolph,Massachusetts,02368
e617ee29-c273-46d8-b356-916cf84fcbc2,1942-03-31,,999-16-3647,S99944882,X61482957X,Mr.,Shon,Corkery,,,M,white,english,M,Dover  Massachusetts  US,796 Wilderman Stravenue,Dalton,Massachusetts,01226
6d417738-db55-417a-9ca4-7b181a7135f0,1989-09-19,,999-11-6401,S99966795,X61683678X,Mrs.,Pilar,Kshlerin,,Schimmel,M,asian,asian_indian,F,Taunton  Massachusetts  US,372 Schuppe Neck Suite 55,Lawrence,Massachusetts,01840
0d4a28e0-f5ad-45fa-89ed-7c4c1ad81ede,1951-02-17,,999-89-9783,S99998781,X35219728X,Mrs.,Criselda,Langworth,,Emard,M,white,english,F,Belchertown  Massachusetts  US,174 Kovacek Flat Unit 28,Arlington,Massachusetts,02474
e8628fda-ad1c-4222-bd58-b860fb6ae19e,1914-08-29,,999-22-8968,S99946390,X54535343X,Mrs.,Maryellen,McLaughlin,,Feest,M,white,portuguese,F,Falmouth  Massachusetts  US,1090 Herman Fort,Haverhill,Massachusetts,01830
66e0f02e-cf3e-4138-8d7d-b62b32076e7b,1994-08-31,,999-50-4413,S99971639,X29594791X,Ms.,Lashandra,Fisher,,,,white,scottish,F,Boston  Massachusetts  US,603 Block Extension Unit 79,Pittsfield,Massachusetts,01201
55281dee-ffd8-4ad0-8c86-5ce1ba6e0019,1972-10-29,,999-36-5910,S99911801,X4092370X,Mrs.,Iona,Feil,,Hamill,M,white,italian,F,Brimfield  Massachusetts  US,667 Koss Passage Unit 23,Franklin Town,Massachusetts,02038
4a907217-345a-4220-8d79-c78d4d5cb4a8,1935-01-25,2003-01-25,999-65-2578,S99941659,X49264410X,Mr.,Amos,Schiller,,,M,white,american,M,Chicopee  Massachusetts  US,678 Trantow Parade Unit 1,Quincy,Massachusetts,02169
07c22e31-8e5b-4505-85a7-214773fbea3f,1975-07-05,,999-15-4170,S99990273,X31179480X,Mrs.,Gudrun,Sauer,,Graham,M,white,italian,F,Malden  Massachusetts  US,334 McKenzie Lock,Fall River,Massachusetts,02720
eb886a65-bd3c-419d-86ef-ff34d3270d0a,1962-11-20,,999-55-9114,S99964001,X9028584X,Mrs.,Iluminada,Hamill,,Marvin,M,white,irish,F,Boston  Massachusetts  US,980 Willms Mission Apt 58,Randolph,Massachusetts,02368
7e3b636a-2074-46ed-b358-fe5ed2f49b10,1992-05-01,,999-26-2904,S99929119,X79035416X,Mr.,Isaac,Dicki,,,,white,portuguese,M,Funchal  Madeira  PT,239 Friesen Harbor Unit 76,Hamilton,Massachusetts,01936
15aff24b-6303-46b6-ac57-b7e5c5e929a3,2015-02-14,,999-64-9264,,,,Felix,Zieme,,,,white,russian,M,Moscow  Moscow  RU,973 Dibbert Approach,Northampton,Massachusetts,01053
27e13d14-c6e6-400b-abad-6f5630c203f5,1911-04-13,1974-06-09,999-28-7064,S99982824,X59826494X,Mr.,Kirk,Ebert,,,M,white,greek,M,Boston  Massachusetts  US,897 Ratke Rest,Lawrence,Massachusetts,01840
5eed835c-fd62-4bd0-9450-990411ee79ce,2015-01-19,,999-62-9925,,,,Scot,Becker,,,,white,polish,M,Brockton  Massachusetts  US,247 Gutmann Overpass,Bourne,Massachusetts,02532
b9f9c840-7b28-46f5-bfb1-d74a9c0e191e,1938-08-07,,999-56-9978,S99928520,X31017524X,Mr.,Jason,Conroy,,,M,white,french,M,Southampton  Massachusetts  US,322 Wisoky Spur Apt 31,Somerville,Massachusetts,02138
02b9dbb8-0a3b-494a-a6de-91973fa954ed,1970-10-12,,999-36-8727,S99963612,X74159921X,Mr.,Antwan,Kozey,,,M,white,scottish,M,Fairhaven  Massachusetts  US,361 Harvey Frontage road,Wellesley,Massachusetts,02457
ff05ab82-ae82-4f5b-aa6b-4d6fae2f799c,1964-09-15,,999-77-2413,S99980602,X26273503X,Mrs.,Daisy,Botsford,,Nikolaus,M,hispanic,south_american,F,Brasilia  Federal District  BR,861 Bernhard Wynd Apt 18,Yarmouth,Massachusetts,
6eaf80eb-0dff-4103-9bb9-70424beda3d6,1978-09-02,,999-17-5916,S99936298,X82415942X,Mr.,Chas,Stracke,,,M,white,german,M,Worcester  Massachusetts  US,734 Berge Grove Unit 61,Springfield,Massachusetts,01013
60be1f4e-d438-4666-8db9-bc8577de2567,1980-01-19,,999-75-9531,S99983391,X31481043X,Mr.,Geraldo,Spencer,,,M,white,italian,M,Lee  Massachusetts  US,985 Funk Lock Suite 54,Boston,Massachusetts,02108
b22b7917-cc07-411b-a1e3-c7fa08daa09b,2012-09-22,,999-50-3174,,,,Sook,Wolf,,,,white,english,F,Boston  Massachusetts  US,165 Rutherford Gardens Unit 31,Lunenburg,Massachusetts,01462
0ca8b241-eb35-4fd9-9ef1-6b69969403e5,2009-12-29,,999-19-7024,,,,Guy,Strosin,,,,white,german,M,Milford  Massachusetts  US,504 Friesen Ranch,Boston,Massachusetts,02108
c87251e2-6245-452a-a51e-b0535344acdc,1935-01-25,2013-02-22,999-13-7477,S99988142,X4626466X,Mr.,Jefferey,O'Keefe,,,M,white,american,M,Peabody  Massachusetts  US,507 Bayer Trail,Quincy,Massachusetts,02169
99d62524-5453-45a6-a2e6-2802ba79dacc,2000-06-08,,999-30-8717,S99927435,,Ms.,Demetrice,Mosciski,,,,hispanic,south_american,F,Salvador  Bahia  BR,417 Reichel Byway Suite 18,Lawrence,Massachusetts,01840
577467fe-9112-46e6-8721-a1de30e24dfa,2010-02-10,,999-79-2999,,,,Jonathan,Hegmann,,,,white,german,M,Lynn  Massachusetts  US,133 Friesen Path Unit 84,Lynn,Massachusetts,01901
51487c7a-e194-452b-a7a0-7eb7a34bf06c,1911-04-13,1987-04-30,999-28-5800,S99970527,X62380313X,Mr.,Chester,Trantow,,,M,white,greek,M,Boston  Massachusetts  US,866 Steuber Dale,Lawrence,Massachusetts,01840
96477906-fde1-4b26-a07f-a1b3feba4cca,1999-06-01,,999-75-6153,S99981258,,Ms.,Eugene,Daniel,,,,white,irish,F,East Bridgewater  Massachusetts  US,179 Rempel Burg Unit 29,Methuen Town,Massachusetts,01841
9627d1ad-e51d-4a17-81fb-b985a1afd18e,1961-09-06,,999-57-9443,S99963787,X83392351X,Mrs.,Luisa,Soria,,Espinal,M,hispanic,puerto_rican,F,Bayamon  Puerto Rico  PR,467 Grimes Highlands,Salem,Massachusetts,01907
4f44ea25-0438-463e-b68c-987b967cbd0e,1925-01-04,,999-58-5239,S99973195,X37316334X,Mr.,Matthew,Jast,,,S,white,german,M,Lynn  Massachusetts  US,405 Rippin Hollow,Kingston,Massachusetts,02364
519dbbc1-6ffa-4bc5-8faa-631f16e14880,2012-12-28,,999-21-1068,,,,Ulrike,Hills,,,,white,italian,F,Lawrence  Massachusetts  US,357 Frami Underpass,Medway,Massachusetts,02053
ea654757-fdb0-4b45-aead-6bac4feff561,1948-10-02,,999-92-5800,S99990873,X60832768X,Mr.,Spencer,Krajcik,,,M,white,french,M,Framingham  Massachusetts  US,352 Beahan Way Unit 97,Seekonk,Massachusetts,02771
48a4dd75-0fc5-41dc-b994-cfac6b2ea219,1952-12-08,,999-84-3278,S99969931,X45784924X,Mr.,Alan,Ullrich,,,S,white,french_canadian,M,North Reading  Massachusetts  US,305 Fahey Promenade,Wareham,Massachusetts,02571
70cd327e-dfa7-4eba-ad48-2c21a0e47108,1999-11-12,,999-32-6570,S99970439,,Ms.,Steffanie,Prohaska,,,,white,italian,F,Concord  Massachusetts  US,1070 Hauck Esplanade,Harwich,Massachusetts,02645
cae60335-26bf-49ec-b0f4-759c1147eb84,1935-01-25,1996-04-21,999-19-2558,S99914079,X44823008X,Mr.,Caleb,Wiegand,,,S,white,american,M,Salem  Massachusetts  US,581 Treutel Annex Apt 21,Quincy,Massachusetts,02169
44b6ae1a-79f4-43f8-905a-cfb6591986ab,1973-03-14,,999-41-2893,S99927236,X72990761X,Mr.,Mario,Mata,,,S,black,dominican,M,Salisbury  Saint Joseph Parish  DM,261 Sauer Ville Apt 29,Plymouth,Massachusetts,02360
af6202ae-aa60-486c-9e0e-2dcd9f8effc3,1987-10-24,,999-89-6878,S99991394,X31143897X,Ms.,Barbara,Armenta,,,S,hispanic,mexican,F,La Paz  Baja California  MX,264 Kris Underpass Apt 17,Springfield,Massachusetts,01013
0264af7d-b580-48aa-98b0-d560c4e93bd7,1994-06-04,,999-93-6770,S99938267,X16172631X,Mr.,Garth,Murray,,,,asian,chinese,M,Macau  Macao Special Administrative Region of the People's Republic of China  CN,859 Hagenes Rapid,Easthampton Town,Massachusetts,01027
98c0dda2-5a85-4255-8b88-ebf915a309d8,1972-01-29,,999-24-4099,S99989917,X83588829X,Ms.,Colette,Thompson,,,S,white,portuguese,F,Boston  Massachusetts  US,851 Ziemann Arcade,Brockton,Massachusetts,02301
de5e69a4-c41e-45ae-adde-fe1b1a402f69,1974-08-15,,999-91-7539,S99954992,X14873538X,Mr.,Felipe,Montalvo,,,M,hispanic,mexican,M,Mexico City  Mexico City  MX,408 Friesen Approach Apt 22,Northborough,Massachusetts,01532
0cf87651-a1d3-47f1-996a-f783caabaeec,1911-04-13,2005-10-28,999-20-6324,S99935252,X70635437X,Mr.,Monroe,Collins,,,S,white,greek,M,Chelmsford  Massachusetts  US,320 Leannon Divide Suite 24,Lawrence,Massachusetts,01840
5300b165-ea0c-4f0b-b89b-cb263cd419b7,1955-05-27,,999-53-1446,S99966952,X32071942X,Ms.,Jerrie,Dare,,,S,black,west_indian,F,Port-au-Prince  Haiti  HT,763 Legros Vale,Springfield,Massachusetts,01013
5e5a0d6d-e296-4fcb-bdfb-59caee803cb6,1955-02-01,,999-78-2004,S99920342,X56808937X,Mr.,Rubin,Vandervort,,,M,white,italian,M,Belmont  Massachusetts  US,303 Kulas Hollow Apt 92,Brookline,Massachusetts,02215
94d5a2ab-5e5f-4611-88c9-5b7e600c8c33,1977-02-23,,999-67-9223,S99999594,X36424182X,Ms.,Kourtney,Borer,,,S,white,english,F,Duxbury  Massachusetts  US,976 Willms Annex Suite 7,Shrewsbury,Massachusetts,01545
db350d41-c4d7-4f9e-81fb-2dee04d7ebcc,1991-06-04,,999-98-1388,S99939312,X16459560X,Mrs.,Devin,Donnelly,,Douglas,M,white,polish,F,Cambridge  Massachusetts  US,852 Harris Branch Apt 52,Bellingham,Massachusetts,02019
50f7fa5e-3648-44f8-83d7-0b1c71137ad0,2013-02-07,,999-34-2019,,,,Lori,Kerluke,,,,white,french_canadian,F,West Springfield Town  Massachusetts  US,295 Schoen Skyway,Fall River,Massachusetts,02720
01e5d2a9-c45e-4cc3-9968-111c798f71ad,1992-11-26,,999-67-4241,S99911466,X39317964X,Ms.,Mercedes,Robles,,,,hispanic,central_american,F,Panama City  Panama  PA,649 Gulgowski Parade Apt 29,Hamilton,Massachusetts,01936
217010ec-4d47-4964-a54b-0e47653bdee3,1945-03-05,,999-81-6118,S99982472,X82984897X,Mr.,Lucas,Vanegas,,,M,hispanic,puerto_rican,M,Caguas  Puerto Rico  PR,160 Brown Overpass Suite 3,Framingham,Massachusetts,01701
4572c5ff-daf0-4936-b455-331237f4b9a1,1935-01-25,,999-17-9237,S99964842,X12589409X,Mr.,Robin,Berge,,,S,white,american,M,Framingham  Massachusetts  US,606 Rath Gardens Unit 88,Quincy,Massachusetts,02169
e65c18f8-957f-4093-b929-5337b70d1ca5,1973-04-28,,999-10-5314,S99937172,X67191187X,Ms.,Farrah,Considine,,,S,white,french_canadian,F,Amesbury Town  Massachusetts  US,831 Graham Landing Apt 56,Mansfield,Massachusetts,02048
0de436b1-688e-4897-9509-7221a47621bf,1979-12-10,,999-24-5114,S99926259,X41923583X,Mrs.,Carmelina,Medhurst,,Bergstrom,M,asian,chinese,F,Shanghai  Shanghai Municipality  CN,817 Buckridge Heights Apt 41,Salem,Massachusetts,01907
4a1d488f-7505-4fc4-96c1-61f3bf66799b,1978-08-19,,999-57-2471,S99982279,X24062871X,Mrs.,Crissy,Price,,Schaden,M,white,german,F,Brockton  Massachusetts  US,665 Purdy Gateway Suite 25,Hanover,Massachusetts,02339
079c76ad-c346-4d24-afab-03f93f47f773,1969-06-14,,999-82-4717,S99962949,X85742489X,Mr.,Glen,Reichel,,,S,asian,asian_indian,M,Swansea  Massachusetts  US,737 Toy Key Unit 23,Boston,Massachusetts,02108
638e2c74-0e06-4b93-994d-77bf32dc47a9,1987-08-24,,999-85-7010,S99965689,X53244732X,Mrs.,Antonietta,Effertz,,Skiles,M,black,dominican,F,Natick  Massachusetts  US,758 Dooley Byway,Boston,Massachusetts,02108
f1e512f7-2e85-4043-aede-4e4707710448,1988-01-09,,999-95-3370,S99942386,X64374786X,Mr.,Rudy,Harris,,,M,hispanic,puerto_rican,M,Quincy  Massachusetts  US,278 Schumm Mill Apt 28,Boston,Massachusetts,02108
6294b197-6ba3-44a9-8c9a-90076ad5abd2,1957-05-21,2009-01-06,999-26-8667,S99952030,X85705403X,Mr.,Von,Adams,,,M,native,american_indian,M,North Andover  Massachusetts  US,194 Bayer Alley Apt 23,Winthrop Town,Massachusetts,02128
2454080a-ff01-4d30-b4e2-9f6c09086fc8,1911-04-13,1992-04-29,999-87-7342,S99963764,X6826246X,Mr.,Clinton,Price,,,M,white,greek,M,Shirley  Massachusetts  US,779 Hayes Terrace,Lawrence,Massachusetts,01840
c4137c1b-bfed-4b8c-a88b-17529a38ef48,1976-07-24,,999-65-9634,S99961367,X77517818X,Mrs.,Loura,Schmitt,,Hermiston,M,white,swedish,F,Heath  Massachusetts  US,589 Schmeler Crossing,Abington,Massachusetts,02351
488df5a1-6789-4195-b730-99bce3733cb0,1970-06-08,,999-91-1782,S99954713,X30922922X,Mr.,Adam,Fay,,,M,black,african,M,Marlborough  Massachusetts  US,963 Lang Rapid Unit 4,Dartmouth,Massachusetts,02714
748aea3e-5400-4459-956a-14c2f43cc970,1959-04-28,,999-32-2381,S99954808,X53142467X,Mrs.,Lola,Portillo,,Pulido,M,hispanic,puerto_rican,F,Ponce  Puerto Rico  PR,546 Leuschke Port,Taunton,Massachusetts,02718
eb586335-d518-430d-b212-1f99b3447fdf,1958-01-18,1999-05-01,999-32-1834,S99958089,X2365689X,Mrs.,Lezlie,Nolan,,Botsford,M,asian,asian_indian,F,Worcester  Massachusetts  US,1056 Dicki Brook,Bridgewater,Massachusetts,02324
a9bbe412-e24e-4f2c-8a96-85353d34112a,1973-10-11,,999-58-8448,S99935558,X33557374X,Mrs.,Walter,Bergstrom,,Streich,M,asian,asian_indian,F,Braintree Town  Massachusetts  US,142 Legros Village,Acton,Massachusetts,01720
e86e0a85-6f18-4bb2-b447-271911af36cc,1964-03-14,,999-74-4806,S99929421,X43311940X,Mrs.,Myriam,Tromp,,Kilback,M,white,irish,F,Peabody  Massachusetts  US,214 Lynch Grove,Lakeville,Massachusetts,02347
5e18ab44-f921-42b8-9ab0-3d7f15c12711,1957-05-21,,999-95-4704,S99966186,X55003425X,Mr.,Vito,Mayer,,,M,native,american_indian,M,Maynard  Massachusetts  US,1086 Mayer Walk Unit 79,Winthrop Town,Massachusetts,02128
fdc4ce0b-b605-40db-a374-4d65852452fb,1988-11-04,,999-57-9791,S99959300,X24231667X,Mrs.,Cecilia,Nieves,,Alcántar,M,black,dominican,F,Wesley  Saint Andrew Parish  DM,462 Stark Overpass Unit 66,Boston,Massachusetts,02108
88017f6a-97d9-4688-a1c8-be2584bcd2d9,1989-07-13,,999-15-6663,S99983204,X82774967X,Mrs.,Charlie,Crist,,Zulauf,M,hispanic,puerto_rican,F,Framingham  Massachusetts  US,608 Von Rue,Gloucester,Massachusetts,01930
